estimate_hours,range_width_hours,min_hours,max_hours
2,0.5,2,2.25
2.25,0.5,2,2.5
2.5,0.5,2.25,2.75
2.75,0.5,2.5,3
3,0.75,2.5,3.5
3.25,0.75,2.75,3.75
3.5,0.75,3,4
3.75,0.75,3.25,4.25
4,1,3.5,4.5
4.25,1,3.75,4.75
4.5,1,4,5
4.75,1,4.25,5.25
5,1.5,4.25,5.75
5.25,1.5,4.5,6
5.5,1.5,4.75,6.25
5.75,1.5,5,6.5
6,1.5,5.25,6.75
6.25,1.5,5.5,7
6.5,1.5,5.75,7.25
6.75,1.5,6,7.5
7,2,6,8
7.25,2,6.25,8.25
7.5,2,6.5,8.5
7.75,2,6.75,8.75
8,2,7,9
8.25,2,7.25,9.25
8.5,2,7.5,9.5
8.75,2,7.75,9.75
9,2,8,10
9.25,2,8.25,10.25
9.5,2,8.5,10.5
9.75,2,8.75,10.75
10,2.5,8.75,11.25
10.25,2.5,9,11.5
10.5,2.5,9.25,11.75
10.75,2.5,9.5,12
11,2.5,9.75,12.25
11.25,2.5,10,12.5
11.5,2.5,10.25,12.75
11.75,2.5,10.5,13
12,3,10.5,13.5
12.25,3,10.75,13.75
12.5,3,11,14
12.75,3,11.25,14.25
13,3,11.5,14.5
13.25,3,11.75,14.75
13.5,3,12,15
13.75,3,12.25,15.25
14,3,12.5,15.5
14.25,3,12.75,15.75
14.5,3,13,16
14.75,3,13.25,16.25
15,3,13.5,16.5