Id,CanonicalItem,Aliases,CuFtS,CuFtM,CuFtL,WeightSLb,WeightMLb,WeightLLb,TwoPersonFlag,StackableFlag,StackableSavingsPct,FitsElevatorHint,BaseTimeSMin,BaseTimeMMin,BaseTimeLMin,DisassemblyAdderSMin,DisassemblyAdderMMin,DisassemblyAdderLMin,BulkyAdderSMin,BulkyAdderMMin,BulkyAdderLMin,HeavyAdderSMin,HeavyAdderMMin,HeavyAdderLMin,StairsAdderPerFlightSMin,StairsAdderPerFlightMMin,StairsAdderPerFlightLMin,ElevatorAdderPerRideSMin,ElevatorAdderPerRideMMin,ElevatorAdderPerRideLMin,UnloadMultiplierMainFloor,UnloadMultiplierElevator,UnloadMultiplierStairs,ClassificationLogicNotes,CreatedAt,UpdatedAt
1,DefaultItem,default; default item; unknown; misc; miscellaneous item,3,6,10,15,35,60,No,No,0,Yes,3,5,7,0,0,0,0,1,2,0,1,3,0.5,1,1.5,0.5,1,1.5,1,1,1,Safe fallback row used when Vision Agent cannot match an item to a real catalog item. Conservative generic values to avoid zero pricing while preventing extreme overpricing.,,
101,boxes & bags,boxes; bags; box; bag,3,5,8,10,25,45,No,Yes,30,Yes,2.5,3,4.5,0,0,0,0,0,0,0,0,2,0.5,1,1.5,0.5,1,1.5,0.85,0.95,1.05,Manual aggregate counter row for UI Boxes & bags. Values based on VisionItems3 light stackable items such as plastic storage bin suitcase and sports bag. Kept CanonicalItem as boxes & bags to match UI intent.,,
1001,mattress,mattress; foam mattress; spring mattress; queen mattress; king mattress; twin mattress,12,18,25,30,60,100,Maybe,No,0,Usually,4.5,6,10,0,0,0,2,4.5,6.5,0.5,2.5,6,1.5,2.5,5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=Mattress score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1002,bed,bed; bed set; full bed; queen bed; king bed; twin bed,18,28,40,50,90,140,Yes,No,0,If disassembled,6,10,15,7.5,11,15,2.5,4.5,7.5,0,2,6,2,4,7,1,2,3,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=bed score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1003,bunk bed,bunk bed; bunkbed; bunk beds,40,70,100,120,180,260,Yes,No,0,If disassembled,12.5,21,35,11,20,30,4.5,9,11.5,2,6,10,4.5,8,12.5,2,3,4.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=Bunk bed score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1004,crib,crib; baby crib; kids crib; toddler crib,12,18,25,35,55,80,Maybe,Yes,15,Yes,5.5,7.5,11,5,9,14,1,2.5,3.5,0,0,3,1,2,3.5,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=Crib score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1005,storage bed,storage bed; bed with storage,30,48,70,100,160,230,Yes,No,0,If disassembled,10,15,22,12,17.5,22.5,3,9,11.5,2.5,5,10.5,3.5,7,10,1.5,2.5,3.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=storage bed frame score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1006,daybed,daybed; day bed; sofa bed frame,18,30,45,60,100,150,Yes,No,0,Usually,8.5,12,14.5,6,6,9.5,3.5,6.5,10,1,4,6,3,5.5,7.5,1.5,2,3,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=chaise lounge score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1007,headboard,headboard; bed headboard,5,8,12,20,35,60,No,Yes,15,Yes,3.5,5.5,7.5,2,4,6,0,1.5,2,0,0,3,0.5,1.5,2.5,0.5,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=headboard score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1008,box spring,box spring; boxspring; foundation; bed foundation,10,15,20,20,40,70,Maybe,No,0,Usually,4.5,6.5,9,2,4,6,1,2.5,3.5,0,0,3,1,1.5,3,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=Box spring/Foundation score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1009,nightstand,nightstand; bedside table; bedside cabinet; side table,5,8,12,20,35,60,No,Yes,15,Yes,3,5,6.5,2,4,6,0,0,0,0,0,3,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=Nightstand score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1010,dresser,dresser; drawer dresser; low dresser; bedroom dresser,15,25,35,70,120,200,Yes,Yes,15,Usually,8.5,12,17,0,0,0,2,3,5,2,6,12.5,3,5,8.5,1.5,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=Dresser score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1011,tall dresser,tall dresser; chest of drawers; tall chest; high dresser,18,28,40,80,140,220,Yes,Yes,15,Usually,10.5,13.5,18.5,0,0,0,2.5,5.5,8,1.5,5,11.5,3.5,5.5,9,1.5,2.5,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=Dresser score=88; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1012,wardrobe,wardrobe; armoire; wardrobe cabinet; wardrobe closet; clothing wardrobe,25,40,60,110,170,240,Yes,No,0,If disassembled,12,17,22,9.5,14.5,19.5,3,5.5,7.5,3,6,12,4,6.5,9.5,1.5,2.5,3.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=wardrobe score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1013,vanity table,vanity; vanity table; dressing table; makeup table,10,18,25,40,70,110,Maybe,Yes,15,Usually,6,9,13.5,4,5.5,9,1,2.5,4,0,2,6,1.5,2.5,5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=vanity table score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1014,mirror,mirror; wall mirror; bedroom mirror,4,6,10,15,25,40,No,No,0,Yes,3,5,7,0,0,0,0.5,0.5,2,0,0,0,1,1.5,2.5,1,1.5,2,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Mirror score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1015,floor mirror,floor mirror; standing mirror; full mirror; full length mirror,6,10,16,25,40,70,Maybe,No,0,Usually,4,5.5,7.5,0,0,0,0,1,1.5,0,0,3,1,1.5,3,1,1.5,2,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Mirror score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1016,hutch,hutch; top cabinet; dresser hutch; desk hutch; cabinet hutch,10,20,30,40,80,140,Yes,No,0,Usually,6,9.5,14.5,4,6,10,2,3,5,0,2,6,2,3.5,6.5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=hutch score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1017,clothing rack,clothing rack; garment rack; clothes rack; rolling rack,6,10,15,20,40,70,No,Yes,15,Yes,3.5,5,6.5,0,0,0,0.5,0.5,0.5,0.5,0.5,4,1,1,2.5,1,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=general. source=Shelves (assembled) score=88; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1018,bench,bench; bedroom bench; end bench; bed bench; storage bench; dining bench; entry bench; outdoor bench,6,10,16,25,45,80,Maybe,Yes,15,Yes,3.5,5.5,7.5,2,2,2.5,0,0.5,0.5,0,0,3,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=bench score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1019,trunk,trunk; storage trunk; storage chest; foot trunk; travel trunk; toy chest; blanket chest,8,15,25,40,80,140,Maybe,Yes,15,Yes,5.5,9,12,0,0,0,0.5,3,5,1,3.5,8.5,1.5,3,5.5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=large map trunk score=94; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1020,desk,desk; computer desk; writing desk; student desk; standing desk; adjustable desk,12,22,34,50,110,180,Maybe,No,0,Usually,6.5,9,13,5.5,7,9.5,2,3,4.5,0,4,10,1.5,3.5,6,1,2,2.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=desk score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1021,L desk,l desk; l shaped desk; corner desk; workstation desk,25,40,60,100,180,280,Yes,No,0,If disassembled,9.5,13,19.5,6.5,9,12,2.5,5,6.5,2,6,10,3.5,5.5,8.5,1.5,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=desk score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1022,dining table,dining table; kitchen table; dinner table,25,40,60,80,140,220,Yes,No,0,If disassembled,8,13.5,20.5,4.5,8,12.5,2,5,8.5,1.5,5,11,3,5.5,9.5,1,2,3.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=Dining table score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1023,coffee table,coffee table; center table; living room table; low table,10,18,25,40,70,110,No,Yes,15,Yes,4.5,6,9,2,2,2.5,1,2,3.5,0,2,6,1,2,4,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=Coffee table score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1024,side table,side table; end table; lamp table; accent table,5,8,12,20,35,60,No,Yes,15,Yes,3.5,5.5,7.5,2,4,6,0,0,0,0,0,3,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=side table score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1025,console table,console table; hallway table; entry table; sofa table,10,18,25,40,70,110,Maybe,Yes,15,Usually,5,7,11,0,0,0,2.5,4.5,7,0,2,6.5,1.5,3,5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=seating. source=console table score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1026,workbench,workbench; work table; shop table; garage table; utility table,22,38,65,100,180,300,Maybe,No,0,Usually,10.5,14.5,21.5,7.5,11,16,2,4.5,11,2,6,20,3,5,11.5,1.5,2.5,4,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=Workbench score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1027,folding table,folding table; foldable table; collapsible table,8,12,18,25,40,60,No,Yes,30,Yes,3.5,5,6.5,2,4,4,0,0,0,0,0,3,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=plastic table score=82; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1028,patio table,patio table; outdoor table; garden table; backyard table,15,25,40,50,100,180,Maybe,No,0,Usually,5.5,9,14,2,4,6,1.5,2.5,6.5,0,4,10,1.5,3,6.5,1,1.5,2.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=Patio table score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1029,kitchen cart,kitchen cart; rolling cart; kitchen trolley; island cart; small island,10,18,28,40,80,140,No,Yes,15,yes,5,6.5,10,0,0,0,1,2.5,4.5,0.5,2.5,6.5,1.5,2.5,4.5,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=Kitchen island (movable) score=88; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1030,kitchen island,kitchen island; movable island; large island; butcher block island; rolling island large,20,35,50,120,180,260,Yes,No,0,Usually,10.5,14.5,20,2,4,6,3,5.5,8.5,3,7.5,11.5,4,6.5,9.5,1.5,2.5,3.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=kitchen island score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1031,bookshelf,bookshelf; bookcase; wood bookshelf; small bookcase; book shelf,15,25,40,60,100,180,Maybe,Yes,15,Usually,6.5,9.5,15,0,0,0,1,2.5,7,1,4,10,1.5,3.5,7,1,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=bookshelf score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1032,shelving unit,shelving unit; storage rack; garage shelf; metal shelf; heavy shelf; rack unit; storage shelving,20,35,55,70,120,200,Maybe,Yes,15,Usually,8.5,13,18,4,5.5,10,2,4.5,7,1,4,10,2,4.5,7.5,1.5,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=shelving unit score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1033,cabinet,cabinet; storage cabinet; floor cabinet; tall cabinet; pantry cabinet,18,30,50,70,130,200,Maybe,Yes,15,Usually,8.5,12.5,16.5,2,4,6,2,4.5,6.5,1,4,10,2,4.5,7,1.5,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=cabinet score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1034,filing cabinet,filing cabinet; file cabinet; file drawer; office file cabinet,12,20,30,60,120,200,Maybe,Yes,15,Usually,6,9.5,14.5,2,4,6,1,2,3.5,1.5,4,10,1.5,3,6,1,1.5,2.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=Filing cabinet score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1035,display cabinet,display cabinet; display case; curio cabinet; glass cabinet,20,35,55,90,160,260,Yes,No,0,Usually,8.5,13,17,2,2,3,3,5.5,7.5,1,6,12,3,6.5,9.5,1.5,2.5,3.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=display cabinet score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1036,china cabinet,china cabinet; dish cabinet; hutch cabinet; large hutch,30,50,80,140,220,350,Yes,No,0,If disassembled,12,19.5,33,5,9,17,2.5,9,13,3,7,20,4,8.5,15.5,2,3,5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=China cabinet score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1037,tv stand,tv stand; tv table; television stand; tv cabinet; media console; entertainment console; entertainment stand; tv console,14,24,40,50,95,150,Maybe,Yes,15,Usually,6,8.5,11.5,1.5,2.5,4,2,3,7.5,0,2,6,2,3,6,1.5,2,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=tv stand score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1038,tool chest,tool chest; tool cabinet; mechanic chest,15,30,50,90,160,260,Yes,No,0,Usually,6.5,11,17,2,4,6,1,4.5,6.5,1.5,4,10,2.5,5,8,1,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=Tool chest score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1039,deck box,deck box; patio box; outdoor box; storage box,10,18,25,40,70,110,No,Yes,30,Yes,4,5.5,9,0,0,0,1,2,3.5,0,2,6,1,2,4,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Deck box score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1040,plastic storage bin,storage bin; tote; storage tote,3,5,8,5,10,15,No,Yes,30,Yes,2.5,3,4.5,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=Plastic storage bin (filled) score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1041,suitcase,suitcase; luggage; travel bag; travel case,4,6,10,10,20,35,No,Yes,30,Yes,2.5,3,4.5,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=Suitcase (packed) score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1042,wall cabinet,wall cabinet; mounted cabinet; wall unit,10,18,25,40,70,110,Maybe,Yes,15,Usually,5,7.5,9,2,4,6,1,2,3.5,0,2,6,1,2.5,4,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=wall cabinet score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1043,locker,locker; storage locker; gym locker,15,25,40,80,140,220,Maybe,Yes,15,Usually,7,10.5,15.5,0,0,0,1,2,6.5,1,4,10,1.5,3.5,7,1,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=Filing cabinet score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1044,safe,safe; security safe; lock safe; heavy safe; gun safe,10,25,50,80,200,500,Yes,No,0,Maybe,12,18.5,30.5,0,0,0,0,0,0,6,12,24,4,7,12.5,1.5,2.5,4,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=special_heavy. source=Safe score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1045,chair,chair; accent chair; armchair; side chair,5,8,12,15,30,50,No,Yes,30,Yes,2.5,4,5.5,0,0,0,0,0.5,0.5,0,1,1,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=seating. source=Chair score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1046,recliner,recliner; lounge chair,15,25,40,70,120,200,Yes,No,0,Usually,6.5,9.5,13,0,0,0,2.5,4.5,11,1.5,4.5,11,2.5,4.5,10,1,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=seating. source=Recliner score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1047,office chair,office chair; desk chair; computer chair; swivel chair; ergonomic chair,6,10,16,20,40,70,No,Yes,30,Yes,2.5,4,5,0,0,0,0,0,0,0,0,3,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=seating. source=Office chair score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1048,dining chair,dining chair; kitchen chair; table chair,5,8,12,15,30,50,No,Yes,30,Yes,2.5,4,5,0,0,0,0,0.5,0.5,0,0,0,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=seating. source=Dining chair score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1049,stool,stool; bar stool; vanity stool; makeup stool; dressing stool,3,5,8,10,20,35,No,Yes,30,Yes,3,3.5,5,2,4,6,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=stool score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1050,ottoman,ottoman; pouf; storage ottoman,5,8,12,20,40,70,No,Yes,15,Yes,3.5,5,6,0,0,0,0,0,0,0,0,3,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=seating. source=ottoman score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1051,sofa,sofa; couch; loveseat,34,55,85,130,220,340,Yes,No,0,Usually,10,15.5,21,0,0,0,6.5,13,16.5,3,8,22,4.5,8.5,14,1.5,3,4.5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=seating. source=sofa score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1052,sectional sofa,sectional sofa; sectional; l shape sofa; corner sofa; sectional couch,55,85,130,220,340,520,Yes,No,0,Usually,16,23,30,0,0,0,7,18,24.5,5.5,13,38.5,6.5,12.5,21.5,2.5,4,6,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=seating. source=sectional sofa score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1053,chaise lounge,chaise lounge; chaise; sofa chaise,22,38,58,90,150,230,Yes,No,0,Usually,8.5,11,14,0,0,0,3.5,7.5,11,1,4.5,11,3,5.5,10,1.5,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=seating. source=chaise lounge score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1054,hanging chair,hanging chair; egg chair; swing chair; pod chair; hammock chair,10,18,25,40,70,110,Maybe,No,0,Usually,5,7,10.5,0,0,0,2,3.5,5.5,0,2,6.5,1.5,2.5,5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=seating. source=hanging chair score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1055,massage chair,massage chair; massage recliner; electric massage chair; shiatsu chair,24,36,52,110,180,260,Yes,No,0,Usually,9,12.5,16.5,0,0,0,3.5,7.5,11,2,6.5,11,3.5,6.5,10,1.5,2.5,3.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=seating. source=blue accent chair score=82; base=scaled from Rework pattern + controlled 13-3 reference.,,
1056,tv,tv; television; flat screen tv,4,8,14,20,40,80,Maybe,No,0,Yes,3.5,6.5,10,0,0,0,0,1,1,0,0,3,1,2,3.5,1,1.5,2,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=electronics. source=tv score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1057,monitor,monitor; computer monitor; display monitor,2,4,6,10,20,35,No,No,0,Yes,3.5,4,5,0,0,0,0,0.5,0.5,0,0,1,0.5,1,1.5,0.5,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=electronics. source=electronics score=94; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1058,computer,computer; desktop computer; computer tower; desktop pc,2,4,6,10,20,35,No,Yes,15,Yes,3.5,4,5,0,0,0,0,0.5,0.5,0,0,1,0.5,1,1.5,0.5,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=electronics. source=electronics score=94; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1059,printer,printer; office printer; laser printer; inkjet printer,4,8,14,20,45,80,No,Yes,15,Yes,4,5.5,8,0,0,0,0,0,0,0,0,3,0.5,1,2,1,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=electronics. source=Printer score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1060,floor speaker,floor speaker; large speaker; tower speaker; big speaker,8,15,25,40,80,140,Maybe,No,0,Usually,5,7.5,12,0,0,0,0,2,3.5,0,2,6,1,2.5,4.5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=electronics. source=speaker score=84; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
